X,Y
7.173685101,-5.585867032
7.444917361,-5.053647346
7.82000639,-4.360597419
8.467295363,-3.259334378
8.182246361,-3.731159906
7.640227959,-4.687054662
8.680027436,-2.919117481
8.900748011,-2.57588944
9.094847402,-2.281641673
9.286313331,-1.997839887
9.482563752,-1.713156019
9.636500356,-1.493987926
9.815418687,-1.243559061
9.964965634,-1.037612842
10.16518203,-0.766434879
10.34172617,-0.531410635
10.56223875,-0.24292612
10.84074551,0.113889797
11.09567286,0.433629696
11.38639389,0.790841791
11.65295061,1.111904606
11.90845905,1.414262839
12.1695988,1.718184698
12.41511998,1.999523238
12.70269991,2.323977861
13.00284262,2.657155246
13.36929639,3.056967027
13.81722489,3.536167496
14.28962014,4.031148212
14.85230831,4.607302713
15.32920612,5.084459767
35.70597191,18.22805951
34.43661787,17.73020998
32.8413203,17.05527061
31.63649321,16.50795385
30.00623847,15.71379336
28.75458371,15.06049313
27.08497894,14.1270721
25.91979695,13.43152846
24.96649777,12.83408414
24.03362,12.22359115
23.13489704,11.6102015
22.07270579,10.851725
20.87452292,9.950400352
19.83458418,9.127272062
18.8163423,8.283118677
17.95484474,7.538310505
16.97124602,6.652337882
16.22216412,5.951216768
47.03138622,20.57637258
46.02266603,20.42619051
44.50168128,20.18722305
43.01888355,19.93980798
42.09101588,19.77780176
40.12263557,19.41602239
38.93237957,19.185428
31.63649321,-7.521343575
28.75458371,-7.462180779
25.91979695,-7.378033336
24.03362,-7.306228684
22.07270579,-7.218770413
18.8163423,-7.050722055
16.22216412,-6.882635034
13.00284262,-6.57393218
10.34172617,-6.189206008
8.182246361,-5.787346213
9.286313331,-6.000632473
14.85230831,-6.768528331
20.87452292,-7.159957347
27.47609697,-7.427612621
30.44410907,-7.499891991
47.03138622,-7.478077961
44.50168128,-7.519538246
42.09101588,-7.548227724
38.93237957,-7.56787455
35.70597191,-7.564345673
34.43661787,-7.555769279
32.8413203,-7.538840764
